MESS_NAME,MONTH,date,month_num,year,is_holiday_month,snacks_data_recorded,is_anomaly,BF_WASTE,LUNCH_WASTE,SNACKS_WASTE,DINNER_WASTE,total_waste_grams,total_waste_kg,BF_PLATE,LUNCH_PLATE,SNACKS_PLATE,DINNER_PLATE,BF_WASTE_%,LUNCH_WASTE_%,SNACKS_WASTE_%,DINNER_WASTE_%,MONTH_AVG_WASTE_%,active_meal_avg_waste_%,financial_loss_inr
D-MESS,Apr-2023,2023-04-01,4,2023,False,False,False,1006.0,3161.0,,3175.0,7342.0,7342.0,24455,31425,31350,31360,4,10,,10,6,8,293680.0
D-MESS,May-2023,2023-05-01,5,2023,False,False,False,1023.0,3024.0,,3754.0,7801.0,7801.0,24240,29827,32415,32415,4,10,,12,6,9,312040.0
D-MESS,Jun-2023,2023-06-01,6,2023,True,False,False,15.0,30.0,,0.0,45.0,45.0,1360,1655,840,840,1,2,,0,1,1,1800.0
D-MESS,Jul-2023,2023-07-01,7,2023,False,False,False,408.0,1095.0,,1117.0,2620.0,2620.0,12465,19740,21090,21090,3,6,,5,4,5,104800.0
D-MESS,Aug-2023,2023-08-01,8,2023,False,False,False,1181.0,2453.0,,2479.0,6113.0,6113.0,24580,40135,43220,43100,5,6,,6,4,6,244520.0
D-MESS,Sep-2023,2023-09-01,9,2023,False,False,False,1821.0,3057.0,,3583.0,8461.0,8461.0,22752,37614,42907,44457,8,8,,8,6,8,338440.0
D-MESS,Oct-2023,2023-10-01,10,2023,False,False,False,745.0,2194.0,,2264.0,5203.0,5203.0,13135,24626,24790,26240,6,9,,9,6,8,208120.0
D-MESS,Nov-2023,2023-11-01,11,2023,False,False,False,1006.0,1977.0,,2411.0,5394.0,5394.0,12493,21964,26996,26996,8,9,,9,6,9,215760.0
D-MESS,Dec-2023,2023-12-01,12,2023,False,False,False,205.0,468.0,,525.0,1198.0,1198.0,4976,8673,10715,10715,4,5,,5,4,5,47920.0
D-MESS,Jan-2024,2024-01-01,1,2024,True,False,False,0.0,0.0,,0.0,0.0,0.0,1395,1250,3480,3480,0,0,,0,0,0,0.0
D-MESS,Feb-2024,2024-02-01,2,2024,False,False,False,887.0,1680.0,,1867.0,4434.0,4434.0,22356,43656,51643,51643,4,4,,4,3,4,177360.0
D-MESS,Mar-2024,2024-03-01,3,2024,False,False,False,1013.0,1720.0,,2248.0,4981.0,4981.0,21414,49248,47967,47967,5,3,,5,3,4,199240.0
J-MESS,Apr-2023,2023-04-01,4,2023,False,False,False,892.0,2577.0,,2661.0,6130.0,6130.0,24014,30024,30414,30515,4,9,,9,6,7,245200.0
J-MESS,May-2023,2023-05-01,5,2023,False,False,False,968.0,2616.0,,2750.0,6334.0,6334.0,24933,29981,32475,32457,4,9,,8,5,7,253360.0
J-MESS,Jun-2023,2023-06-01,6,2023,True,False,False,25.0,71.0,,0.0,96.0,96.0,689,767,,0,4,9,,0,6,4,3840.0
J-MESS,Jul-2023,2023-07-01,7,2023,False,False,False,346.0,1914.0,,1990.0,4250.0,4250.0,13142,23067,24442,24442,3,8,,8,5,6,170000.0
J-MESS,Aug-2023,2023-08-01,8,2023,False,False,False,959.0,1420.0,,1552.0,3931.0,3931.0,27526,43960,45974,45974,3,3,,3,2,3,157240.0
J-MESS,Sep-2023,2023-09-01,9,2023,False,False,False,948.0,1210.0,,1390.0,3548.0,3548.0,26195,41511,46272,46272,4,3,,3,2,3,141920.0
J-MESS,Oct-2023,2023-10-01,10,2023,False,False,False,694.0,882.0,,985.0,2561.0,2561.0,26369,43172,45651,45652,3,2,,2,2,2,102440.0
J-MESS,Nov-2023,2023-11-01,11,2023,False,False,False,734.0,889.0,,1052.0,2675.0,2675.0,27719,40837,46388,46388,3,2,,2,2,2,107000.0
J-MESS,Dec-2023,2023-12-01,12,2023,False,False,False,237.0,306.0,,436.0,979.0,979.0,8377,9939,9655,9655,3,3,,5,3,4,39160.0
