MESS_NAME,MONTH,BF_WASTE,BF_PLATE,BF_WASTE_%,LUNCH_WASTE,LUNCH_PLATE,LUNCH_WASTE_%,SNACKS_WASTE,SNACKS_PLATE,SNACKS_WASTE_%,DINNER_WASTE,DINNER_PLATE,DINNER_WASTE_%,MONTH_AVG_WASTE_%
D-MESS,Apr-2023,1006.0,24455,4,3161.0,31425,10,0,31350,0,3175.0,31360,10,6
D-MESS,May-2023,1023.0,24240,4,3024.0,29827,10,0,32415,0,3754.0,32415,12,6
D-MESS,Jun-2023,15.0,1360,1,30.0,1655,2,0,840,0,0.0,840,0,1
D-MESS,Jul-2023,408.0,12465,3,1095.0,19740,6,0,21090,0,1117.0,21090,5,4
D-MESS,Aug-2023,1181.0,24580,5,2453.0,40135,6,0,43220,0,2479.0,43100,6,4
D-MESS,Sep-2023,1821.0,22752,8,3057.0,37614,8,0,42907,0,3583.0,44457,8,6
D-MESS,Oct-2023,745.0,13135,6,2194.0,24626,9,0,24790,0,2264.0,26240,9,6
D-MESS,Nov-2023,1006.0,12493,8,1977.0,21964,9,0,26996,0,2411.0,26996,9,6
D-MESS,Dec-2023,205.0,4976,4,468.0,8673,5,0,10715,0,525.0,10715,5,4
D-MESS,Jan-2024,0.0,1395,0,0.0,1250,0,0,3480,0,0.0,3480,0,0
D-MESS,Feb-2024,887.0,22356,4,1680.0,43656,4,0,51643,0,1867.0,51643,4,3
D-MESS,Mar-2024,1013.0,21414,5,1720.0,49248,3,0,47967,0,2248.0,47967,5,3
J-MESS,Apr-2023,892.0,24014,4,2577.0,30024,9,0,30414,0,2661.0,30515,9,6
J-MESS,May-2023,968.0,24933,4,2616.0,29981,9,0,32475,0,2750.0,32457,8,5
J-MESS,Jun-2023,25.0,689,4,71.0,767,9,0,0,0,0.0,0,0,6
J-MESS,Jul-2023,346.0,13142,3,1914.0,23067,8,0,24442,0,1990.0,24442,8,5
J-MESS,Aug-2023,959.0,27526,3,1420.0,43960,3,0,45974,0,1552.0,45974,3,2
J-MESS,Sep-2023,948.0,26195,4,1210.0,41511,3,0,46272,0,1390.0,46272,3,2
J-MESS,Oct-2023,694.0,26369,3,882.0,43172,2,0,45651,0,985.0,45652,2,2
J-MESS,Nov-2023,734.0,27719,3,889.0,40837,2,0,46388,0,1052.0,46388,2,2
J-MESS,Dec-2023,237.0,8377,3,306.0,9939,3,0,9655,0,436.0,9655,5,3
J-MESS,Jan-2024,121.0,8000,2,160.0,12378,1,0,12944,0,165.0,13894,1,1
J-MESS,Feb-2024,781.0,27498,3,890.0,47297,2,0,54188,0,1009.0,54188,2,2
J-MESS,Mar-2024,898.0,27497,3,1066.0,48611,2,0,55935,0,1231.0,55805,2,2
MEENAKSHI,Apr-2023,114.0,5650,2,388.0,6976,6,0,7226,0,393.0,7186,5,3
MEENAKSHI,May-2023,119.0,5100,2,387.0,7038,5,0,7324,0,400.5,7272,6,3
MEENAKSHI,Jun-2023,126.0,3090,4,317.5,3286,10,0,3314,0,352.0,3311,11,6
MEENAKSHI,Jul-2023,83.0,1175,7,177.5,1258,14,0,1326,0,145.0,1161,12,8
MEENAKSHI,Aug-2023,198.5,9722,2,269.5,10815,2,0,11822,0,275.5,11822,2,2
MEENAKSHI,Sep-2023,205.0,10380,2,297.0,12067,2,0,12467,0,341.0,12467,3,2
MEENAKSHI,Oct-2023,183.0,9230,2,309.0,18922,2,0,12152,0,382.0,12142,3,2
MEENAKSHI,Nov-2023,181.0,8170,2,376.0,11536,3,0,12450,0,469.0,12450,4,2
MEENAKSHI,Dec-2023,116.0,5311,2,241.0,6570,4,0,7129,0,301.0,7162,4,2
MEENAKSHI,Jan-2024,135.0,6037,2,245.0,10480,2,0,8330,0,299.0,8360,4,2
MEENAKSHI,Feb-2024,167.0,8028,2,444.0,11052,4,0,11849,0,491.0,11879,4,2
MEENAKSHI,Mar-2024,133.0,8205,2,541.0,11050,5,0,11915,0,638.0,11915,5,3
SANNASI,Apr-2023,1427.0,48200,3,10643.0,121200,9,0,130150,0,10890.0,130150,8,5
SANNASI,May-2023,1280.0,50086,3,10980.0,107468,10,0,115715,0,11785.0,115715,10,6
SANNASI,Jun-2023,542.0,23055,2,4729.0,30900,15,0,29387,0,5537.0,29387,19,9
SANNASI,Jul-2023,1483.0,12800,12,2564.0,13840,19,0,13830,0,2478.0,13930,18,12
SANNASI,Aug-2023,1147.0,78261,1,4944.0,148950,3,0,155693,0,5520.0,161800,3,2
SANNASI,Sep-2023,954.0,70200,1,4156.0,137020,3,0,147900,0,5026.0,149800,3,2
SANNASI,Oct-2023,894.0,69470,1,4514.0,143600,3,0,155150,0,5478.0,155150,4,2
SANNASI,Nov-2023,1041.0,66970,2,4501.0,147220,3,0,166910,0,5820.0,166910,3,2
SANNASI,Dec-2023,694.0,41510,2,3254.0,85051,4,0,78921,0,4447.0,79121,6,3
SANNASI,Jan-2024,765.0,63766,1,3937.0,120981,3,0,112366,0,4753.0,113466,4,2
SANNASI,Feb-2024,1120.0,54206,2,3907.0,155689,3,0,168926,0,5306.0,165326,3,2
SANNASI,Mar-2024,876.0,51533,2,4498.0,162869,3,0,171597,0,5796.0,171598,3,2
SENBAGAM,Apr-2023,1131.0,18560,6,2109.0,23780,9,0,25070,0,1918.0,24990,8,6
SENBAGAM,May-2023,1101.0,19820,6,1559.0,22415,7,0,24565,0,2017.0,24155,8,5
SENBAGAM,Jun-2023,552.0,9630,6,834.0,10435,8,0,11113,0,903.0,11048,8,6
SENBAGAM,Jul-2023,692.0,18070,4,983.0,20685,5,0,22218,0,1171.0,22218,5,4
SENBAGAM,Aug-2023,926.0,28621,3,1180.0,33720,3,0,37262,0,1454.0,37262,4,2
SENBAGAM,Sep-2023,768.0,25850,3,1160.0,33820,3,0,36740,0,1434.0,36770,4,2
SENBAGAM,Oct-2023,767.0,23980,3,1162.0,37370,3,0,43070,0,1428.0,43070,3,2
SENBAGAM,Nov-2023,656.0,25900,3,1094.0,35500,3,0,39475,0,1241.0,39475,3,2
SENBAGAM,Dec-2023,389.0,15635,2,659.0,20235,3,0,21520,0,838.0,21640,4,2
