Mess,Month,Meal,Waste_KG,Plates,Waste_Percent,Estimated_Dish
D-MESS,Apr-23,BF,1006,24455,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,Apr-23,LUNCH,3161,31425,10,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,Apr-23,SNACKS,0,31350,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,Apr-23,DINNER,3175,31360,10,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
D-MESS,May-23,BF,1023,24240,4,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,May-23,LUNCH,3024,29827,10,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,May-23,SNACKS,0,32415,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,May-23,DINNER,3754,32415,12,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
D-MESS,Jun-23,BF,15,1360,1,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,Jun-23,LUNCH,30,1655,2,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,Jun-23,SNACKS,0,840,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,Jun-23,DINNER,0,840,0,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
D-MESS,Jul-23,BF,408,12465,3,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,Jul-23,LUNCH,1095,19740,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
D-MESS,Jul-23,SNACKS,0,21090,0,"Tea/Biscuits/Samosa/Pav Baji,Pani Poori/Bonda"
D-MESS,Jul-23,DINNER,1117,21090,5,Roti/Paneer/Chicken/Rice/Jeera Dal/Panjabi Paratha/Steamed Rice/Vegetable Curry/Veg Kuruma
D-MESS,Aug-23,BF,1181,24580,5,Idli/Dosa/Poha/Bread/Pongal/Chappathi/Vada/Upma/Poori/Potato Masala
D-MESS,Aug-23,LUNCH,2453,40135,6,"Rice/Dal/Sabzi/Curd/Palak Panneer/Chicken Curry/Kashmiri Dum Aloo/Dal Tadka,"
